,text
34,"Most importantly, he believed in the sacredness contained in every single person, and his commitment to making the world better encouraged other people believe in it, too. I will miss my dear friend, and continue to be inspired by him, every day. 
https://t.co/chkEz21kAh"
35,"I’m heartbroken that my teacher, mentor, &amp; friend Paul Farmer is gone. He taught me what it means to listen—to really listen—instead of charging in with my own solution. He showed me how to channel my anger about the barriers that hold people back into relentlessness &amp; optimism."
36,"In case you missed it, watch the recording of the live Demo Day event here: https://t.co/WcBKcZaZP6"
37,RT @G4GC_org: It's not too late to register for this Friday's #BlackGirlFreedomWeek free interactive youth-led sessions! This is a space de…
38,"If you’re looking for a reason to be hopeful about the future of caregiving, join me today for the @TS_Longevity Demo Day, where we’ll hear from some of the most innovative companies creating solutions for older adults and their caregivers.

Register here: https://t.co/3GXtTFgQhs https://t.co/9DkQqujUtG"
39,RT @TS_Longevity: TODAY is #TSLongevity DEMO DAY! We are proud of these 10 companies and how they are changing the world to address the unm…
40,"With this many doses, we should have been able to give every person on earth at least one shot. Instead, the majority of vaccines have gone to the wealthiest nations, leaving low-income countries behind. https://t.co/e2iuGZwXVf"
41,"The #AfricanMedicinesAgency will help accelerate access to life-saving health innovations where they're needed most. We’re proud to partner with @NEPAD_Agency, @JuttaUrpilainen, @EU_Partnerships, @EMA_News &amp; others in this African-led effort. #AfricaEU https://t.co/529xiyhjBg"
42,"Grateful to the @gatesfoundation Black Philanthropic Partnership employee resource group, which put together this thoughtful call to action for #BlackHistoryMonth. https://t.co/2fdioZUy04"
43,"RT @NASA: Hired in 1955 as a human computer, Annie Easley led a 34-year NASA career developing software code for numerous programs. Her wor…"
44,"As more people grow older, we need to make better investments in our care infrastructure.

In case you missed it, this report from Pivotal Ventures and @the_holding_co shows us how. https://t.co/cqUMS0bBlW"
45,"From scientific discoveries in space that can help us on Earth, to greater international cooperation, Jessica Watkins reminds us what’s possible when we shoot for the stars.

We’ll be watching your history-making trip and cheering you on from afar. 🚀 https://t.co/Hg7VnCej1g"
46,"The inequitable response to COVID-19 has allowed the pandemic to rebound around the world. That's why the @gatesfoundation is investing in @CEPIvaccines, an organization that puts equitable access to vaccines at the heart of its mission."
47,How many deaths could have been avoided if lower-income countries had the same access to vaccines as higher-income countries? The answer is staggering. https://t.co/1vyjlve1dq
48,"The @GatesFoundation's new board members share the values that have guided us for the past 20 years, and they possess the vision needed to drive the work that lies ahead. I am excited to work with these strong, qualified leaders. 

https://t.co/VsS5rwH0TP https://t.co/CcneMvIB3m"
49,A tough but important look at the decades of progress lost to the pandemic—and yet another reminder that we need to place women and girls at the center of our recovery efforts. https://t.co/FYZ2R4u7lw
50,"Not *technically* a selfie, but can I get a pass since we didn't have smartphones in the 80s? 🤣

This shot from the @ngadc takes me back! #MuseumSelfieDay https://t.co/Mnbkj0ULnL"
51,At the core of @CEPIvaccines' mission is a commitment to equitable access. That's why the @gatesfoundation and @wellcometrust are each committing an additional $150 million to support its critical work to increase access to vaccines. https://t.co/niQhKglI3b
52,RT @MichelleObama: What a fitting tribute to have Dr. Maya Angelou become the first Black woman on the U.S. quarter—she was a phenomenal wo…
53,Absolutely thrilled to see @GETCities expanding to Miami! https://t.co/O2Ba8OQeCX
54,"RT @gatesfoundation: “If we end inequity, we end the pandemic.” https://t.co/4BDjE7SEGD"
55,"2021 was packed with so many good reads. These are just a few of my favorites. 

Show me your stack in the replies! 📚 https://t.co/Lr01G37Zb5"
56,"What does it take to achieve gender equality?

This story of advocates, communities, and government coming together in Kenya offers a roadmap for change. ⬇️ https://t.co/bBYu7P5Sn8"
57,"Here's to 2022 being the year that we put women at the heart of our pandemic recovery by prioritizing their voices, well-being, and success.

What are your hopes for 2022?"
58,"With a moral light that graced his every act of service, Desmond Tutu answered apartheid with the gifts of a healer. He fought for a world marked by forgiveness, free from injustice, and rid of HIV/AIDS—a world where every life is valued. I will miss my dear friend."
59,These faces have always been the best Christmas gift. Sending warm wishes to you and yours this holiday season. 🎄 https://t.co/kieVA6BhMi
60,"RT @gatesfoundation: ""If women are not part of the workforce, that will have a ripple effect in the whole economy, the whole society,""
http…"
61,"This is the time of year I love looking back on the things that inspired me, challenged me, and gave me hope. https://t.co/lYKFVSuulu"
62,"Dedicated scientists and years of investment in R&amp;D in southern Africa made the detection of the Omicron variant possible.

This discovery and transparency will save lives—but the only way to end the pandemic is to ensure everyone has access to vaccines. https://t.co/EG3LDMHwV7"
63,RT @PaidLeaveUS: We need a national paid family and medical leave policy so people can recover from an illness or care for their loved ones…
64,"This #CSEdWeek, I'm thinking of all the young women writing algorithms, studying computer architectures, and holding their breath to see if their code compiles with no errors.

Like the girl in this photo, your adventures in tech are just beginning. https://t.co/jVYqewwnzT"
65,"RT @gatesfoundation: We need to ensure that this is an economic recovery that works for everyone.

How can YOU help? Think globally this #G…"
66,"In 2010, I committed to giving away the majority of my resources in my lifetime.

Today, I’m reaffirming that commitment. https://t.co/QbOwK2Y8SJ https://t.co/1nKYLg9WcP"
67,"At some point, most of us will need time away from work to care for ourselves or someone we love. But the U.S. is the only industrialized country that doesn’t guarantee paid leave of any kind.

Congress has an opportunity to pass national #PaidLeave. Let’s make sure they do! https://t.co/nYsfxNZRwe"
68,"Thankful, thankful, thankful.

Wishing you and yours a very #HappyThanksgiving as I reflect on holidays past with these three turkeys. 🦃 https://t.co/vdlt9SZz90"
69,"With the House passage of #BuildBackBetter, we are one step closer to guaranteeing #PaidLeave for all workers and strengthening our care infrastructure. Now the Senate must act on this historic opportunity to invest in women, families, and the economy by passing this bill."
70,"Good news: Today, we're celebrating the launch of a new, more diverse, country-driven @FP2030Global movement.

I was grateful to speak with leaders like @SamukelisoDube and @nskaoma06, who are helping build a world where all women can plan their future. https://t.co/U9DOkqgwXw"
71,".@DVF has built her career on helping women express themselves. So when she asked my best advice for women leaders, the answer was easy—be your true self.

Thank you Diane and @Womens_Forum, for the honor of being recognized with your 2021 Lifetime Leadership Award. I am humbled! https://t.co/rSCUYG1ysH"
72,"Happy #TakeAHikeDay!

No matter where I go, hiking is one of my favorite ways to decompress and get moving.

What’s your favorite hike? This one in Cape Town, South Africa, was one of mine! 🥾 https://t.co/UAxj4eohlU"
73,"It's incredible to see young women supporting one another as they pursue careers in and around tech. 

What was my advice to this group? You're more powerful than you know. Society may try to make you doubt yourself, but don't believe it for one second. https://t.co/Ef0pKiGJNJ"
74,"Proud to join @EmmanuelMacron and other leaders at the @ParisPeaceForum today.

The pandemic is making inequality worse, but we can reverse this trend by expanding access to economic opportunities everywhere.

Let's choose a more inclusive path to recovery. #ParisPeaceForum2021 https://t.co/zW0OG2W53H"
75,"As we strive to recover from the pandemic, we must center our efforts and innovations on the world's most vulnerable people--or risk losing a generation of progress.

Today at #GrandChallenges, I discussed what an inclusive recovery will take.  https://t.co/XYSIFSGF5L"
76,"Fighting for caregivers is nothing new to former First Lady Rosalynn Carter, and as always, her call to activism is spot-on.

We must invest in institutions that support those on the front lines of care. https://t.co/YNMOYB62wc"
77,RT @gatesfoundation: Great ideas can come from anywhere. #GrandChallenges is about empowering innovators and scientists everywhere to solve…
78,"@AASCU @gatesfoundation @PMethvin Thank you, @PresMillieG and @AASCU, for working to ensure higher ed is more equitable for students. The @gatesfoundation is proud to be writing the next chapter of higher education with you."
79,"As the number of older adults in the U.S. continues to rise, it’s time to unleash innovation in caregiving. 

The 2021 @Techstars Future of Longevity Accelerator class is doing just that. I can’t wait to see the progress they make for older adults and their caregivers. https://t.co/jvXErLgy9p"
80,"In her new memoir, “My Life in Full,” @IndraNooyi shares the unique turns of her trailblazing career and a universal vision for why improving our care infrastructure would make everyone better off. A definite must read! https://t.co/Rker0Wi6Fw"
81,"There is a serious syringe shortage facing low- and middle-income countries, which means vaccines can’t reach vulnerable populations.

I'm excited to see this investment in the production of syringes in Kenya, which will help address the gap.

https://t.co/q8BVeQcdoc"
82,"I am grateful for the advocates and lawmakers who keep on fighting to pass #PaidLeave as part of the #BuildBackBetter plan. Your stories and your voices matter. Thanks to you, we are closer than ever to making history and passing the country’s first national paid leave policy. https://t.co/QMD1jgBpjT"
83,"Smallholder farming is a proven path out of poverty, especially for women, who comprise the majority of smallholder farmers. But climate change is already impacting their work.

We can help small-scale food producers adapt. Here's how. #COP26 https://t.co/xFOwXe5PiI"
