,text
774,"RT @vucommodores: Lily Williams (@lily_bwilliams) will soon become the first female @VanderbiltU graduate to compete in the Olympics.

She…"
775,"Religious practices and ethics can embody and enliven a democratic community by showing us how to live in and between different politics of sacred value, writes @VUDivinity’s @AaronKStauffer for The Vanderbilt Project on Unity and American Democracy. https://t.co/NBkRSGWKKE"
776,RT @AAUniversities: Today’s ruling once again makes clear that Congress must act to permanently address #DACA and give #Dreamers a path to…
777,"RT @VanderbiltU: “I needed help from someone who had data scientist Dan Burger’s unique talents to look for patterns in data,” said Keivan…"
778,"This #WorldListeningDay, learn more about Vanderbilt’s partnership with the @theNMAAM 👇  https://t.co/2DFgNc81RJ"
779,"A new study conducted by a team of researchers from Vanderbilt and four other universities has found that access to video chatting helped grandparents stay connected and reduced feelings of isolation during the #COVID19 lockdowns.

Learn more 👇  https://t.co/47SEcYoAKV"
780,RT @VU_Chancellor: “The work Rep. Lewis led in our city inspired the desegregation of public places in the Southeast and continues to serve…
781,"@theryman Tune in at 11 a.m. to watch a livestream of the celebration of the life and legacy of U.S. Rep. John Lewis, featuring a keynote address by alum Rev. James Lawson, and remarks by Jon Meacham of the Vanderbilt Project on Unity and American Democracy. https://t.co/L3jLlILQK8"
782,"The Vanderbilt community--including @vu_chancellor, @vu_provost and dean of the @VUGradSchool--gathered today to break ground on the university’s new graduate and professional student housing development.

Learn more ⬇️ https://t.co/K0udMMlfCe"
783,"Vanderbilt will join with community partners to pay tribute to the life and Nashville legacy of U.S. Rep. John Lewis July 16 &amp; 17 with the formal dedication of Rep. John Lewis Way and a public celebration at @theryman. 

Learn more about the celebration⬇️ https://t.co/pYn5AKn6vp"
784,"A new @VanderbiltOwen study has highlighted trends in research on discrimination and diversity in the workplace over the past 60 years.

Learn more about the research team's findings and suggestions for human resource managers 👇 https://t.co/cTLb7Vxrru"
785,A blast from the past to celebrate the brand new https://t.co/WINzOHhqxr! Watch how much the homepage has changed over the past 26 years 👇🖥 https://t.co/pyMI2gqtc0
786,"In a virtual Lab-to-Table conversation hosted by @VUBasicSciences, academics from diverse areas of expertise came together to explore their views and perspectives on the origins of life.

Learn more and watch their full discussion 👇 https://t.co/owapQAiqRX"
787,"Whether in Music City or the Big Apple, at The Hawk or Citi Field, Vanderbilt students like @KumarRocker show the world what it means to be a champion. https://t.co/CjvOqWzwCU"
788,RT @Mets: We got a 𝓰𝓸𝓸𝓭 one! Welcome to the big apple @KumarRocker! #LGM 🍎💪 https://t.co/qYBmXtSqqH
789,"RT @VandyBoys: The Rock is headed to NY. 🪨

#VandyBoys | #MLBDraft https://t.co/rOGtFVEJyF"
790,"RT @MLBDraft: With the 10th overall pick, the @Mets select @VandyBoys right-hander Kumar Rocker, No. 6 on the Top 250 Draft Prospects list.…"
791,"RT @MLB: With the No. 2 overall pick in the 2021 #MLBDraft, the @Rangers select RHP Jack Leiter from Vanderbilt! https://t.co/C9nIafJ1Qx"
792,"RT @VandyBoys: Another top-five pick under head coach @TimCorbin.

#VandyBoys | #MLBDraft https://t.co/LT3WWnlHk5"
793,RT @Rangers: We got him. https://t.co/qrcXMrZ6aV
794,"RT @Rangers: Welcome to the rodeo, @jackleiter22! https://t.co/ImUyIu4uzo"
795,"RT @VandyBoys: Second overall. 🔥

#VandyBoys | #MLBDraft https://t.co/rOicBNUIrn"
796,"RT @MLBDraft: With the second overall pick, the @Rangers select @VandyBoys right-hander Jack Leiter, No. 2 on the Top 250 Draft Prospects l…"
797,"RT @vucommodores: Good luck to our guys @jackleiter22 and @KumarRocker in tonight's @MLBDraft. ⚓️⬇️

#VandyBoys | #AnchorDown https://t.co/…"
798,"Tonight, two Vanderbilt student-athletes will likely hear their names called in the first round of the @MLBDraft, cementing their spot in @VandyBoys history. Before the action begins, learn what @jackleiter22 and @KumarRocker love about Vanderbilt. https://t.co/AFjPiRknnh"
799,"RT @VandyBoys: 𝑀𝑜𝑠𝑡 𝑝𝑒𝑜𝑝𝑙𝑒 𝑠𝑎𝑦 ""𝑊𝑒𝑙𝑐𝑜𝑚𝑒 𝐻𝑜𝑚𝑒"" ... 𝑏𝑢𝑡 𝑎𝑡 𝗩𝗮𝗻𝗱𝗲𝗿𝗯𝗶𝗹𝘁, 𝑦𝑜𝑢 𝗻𝗲𝘃𝗲𝗿 𝑙𝑒𝑓𝑡. 

#VandyBoys | #MLBDraft https://t.co/EGfgGXoXDA"
800,@ccomperry Happy Anniversary Nancy and David! 🖤💛
801,"Vanderbilt's Green Invest Program partnership with @TVAnews and @NESPower has been recognized by @TNEnvironment with a 2021 Governor’s Environmental Stewardship Award.

The honor is considered the most prestigious environmental award in the state. https://t.co/D1b026vXYM"
802,"RT @MLB: Two #VandyBoys took the baseball world by storm this season.

Get to know @jackleiter22 and @KumarRocker ➡ https://t.co/5hW1Ontcjh…"
803,"As we work to understand COVID-19, many scientists are thinking about the next pandemic.

Vanderbilt professor Manuel Ascano shares the challenges researchers face when studying which virus could cause a future outbreak. https://t.co/sBw3lkxxVn"
804,"RT @Inclusive_Vandy: By our students, for our students: learn more about the new Multicultural Community Space opening this fall! Thank you…"
805,RT @doescience: Studying the beginning of the universe is all in a day's work for 2 students @VanderbiltU. Through our Grad Student Researc…
806,"Vanderbilt engineers are part of a @NASA-funded, multi-institution effort to develop safety systems for a mode of transportation that doesn’t exist yet—small, commercial “air taxis” that move people by air in large, crowded cities.

Learn more 👇 https://t.co/DAXzKzxyBB"
807,"Have a safe and happy Fourth of July, Commodore Nation! 🎆🇺🇸 #July4th https://t.co/pthtOgfFkV"
808,"“We need to live somewhere between blind institutional patriotism on the one hand and unrelenting criticism on the other,” @RepDavidEPrice in an online discussion hosted by the Vanderbilt Project on Unity and American Democracy. https://t.co/ilEutinWs2"
809,"RT @VU_Chancellor: In a message to the Vanderbilt community, Chancellor Diermeier and Vice Chancellor for Equity, Diversity and Inclusion A…"
810,Today C. Cybele Raver begins her tenure as Vanderbilt’s provost and vice chancellor for academic affairs. Learn more about her path into higher education leadership and her vision as provost: https://t.co/lsSxpqDZTa https://t.co/NaGMnMasDH
811,"RT @vucommodores: The @VandyBoys are expected to arrive back to @VanderbiltU between 1:30 and 2 p.m.

Fans who would like to greet the team…"
812,"RT @VU_Chancellor: In a message to the Vanderbilt community, Chancellor Diermeier and @VandyAD reflect on the tremendous @VandyBoys season…"
813,"RT @VandyBoys: A season to remember.

Thank you for a memorable run, Commodore Nation.

#VandyBoys | #CWS https://t.co/ORCZ5wJICv"
814,Vandy United! https://t.co/mTBenEcWf3
815,"RT @VandyBoys: Go time in Omaha.

#VandyBoys | #CWS https://t.co/e191bImGD4"
816,Series finale in Omaha. 6 p.m. on ESPN2. https://t.co/GquZBkhCJb
817,"One last roll call from #CWS! ⚾️

Commodore Nation, quote tweet to tell us where you’re cheering on the @VandyBoys tonight. https://t.co/bBguQ0XMiJ"
818,"RT @VandyBoys: It always begins as just a dream.

#VandyBoys | #CWS https://t.co/q2V36wcUOh"
819,"Game 3 tonight. In Omaha, at The Hawk, at watch parties or at home: Go Dores! https://t.co/OofBVvDhvR"
820,"Vanderbilt students were made for moments like this.

Tonight @VandyBoys pitcher @KumarRocker takes the mound in the final game of the NCAA #CWS and shows everyone what Grantland Rice, Vanderbilt Class of 1901, meant when he described a champion. https://t.co/Gih8UTOuH3"
821,"RT @VandyBoys: Series finale in Omaha. 

⏰ 6 p.m.
📊 https://t.co/kiRcgtOdWV
📻 https://t.co/ihm78tQZry
📺 https://t.co/IqH08yYznM

#VandyBoys…"
822,"The #COVID19 pandemic has changed so much about our lives.

Director of the Vanderbilt Vaccine Research Program Buddy Creech, BS’95, MPH’06, shared three ways he thinks the pandemic will change how we respond to illness in the future.

Learn more at https://t.co/Qeo4c24Bin https://t.co/Rq3zj63Voi"
823,"Happy #SocialMediaDay! 📱💛

Did you know that Vanderbilt has a social media directory? Check out the many ways you can connect with our digital campus community: https://t.co/2TPLaAW4xD https://t.co/NdRkOu3uFh"
824,"RT @VanderbiltAlum: 😍⚾️⚓️⬇️ 

#VandyBoys | #CWS https://t.co/Ip6NXvvFaf"
825,"RT @vucommodores: If you haven't made it out to The Hawk yet to cheer on the #VandyBoys, there's still time."
826,Go Dores! https://t.co/c8aMrJOTmd
827,"RT @vucommodores: Back in Nashville, Coach @SheaRalph joins fans in cheering on the #VandyBoys at The Hawk. #VandyUnited https://t.co/CfOJT…"
828,"Alumni, parents, families and friends tailgated Tuesday afternoon in Omaha to celebrate the #Vandyboys ahead of Game 2 of the #CWS Championship Series. Go Dores! https://t.co/UJBdwyZH1O"
829,"RT @vucommodores: Coaches @h2ocanuck, @Coach_Lea, @jerrystackhouse and @scottlimbaughvu - along with @vandyMrC - anchor down in Omaha. 

#V…"
830,"Vanderbilt researcher and member of the Navajo Nation, Krystal Tsosie, has created a workshop centered on Indigenous data sovereignty, the idea that nations have the right to govern the collection, ownership and application of their own data, via @NYTimes. https://t.co/Hf4VvqZp7X"
831,"RT @vucommodores: First step toward that @VanderbiltU degree. 👨‍🎓👩‍🎓

Congrats to our 67 student‐athletes named to the 2020‐21 First‐Year S…"
832,"RT @VandyBoys: The 𝗼𝗻𝗹𝘆 team with 20 College World Series wins at @tdameritradeprk. 

#VandyBoys | #CWS https://t.co/m69YnQBiNr"
833,"RT @vucommodores: A win for one is a win for all. 

We are #VandyUnited."
834,"RT @VandyBoys: One down.

#VandyBoys | #CWS https://t.co/NJghhlWHlA"
835,Nashville's Korean War Veterans Memorial Bridge is gold tonight to cheer on the #VandyBoys ⚾️ https://t.co/lMxtriXVpq
836,"It's hopping at The Hawk tonight!

Details about tomorrow night's #VandyBoys watch party: https://t.co/WCzN5rZ7xK https://t.co/wkJvTIMX7c"
837,".@VandyBoys fans are anchoring down at The Hawk tonight to watch the #CWS featuring Vanderbilt and Mississippi State.

Join the fun tonight, Tuesday and Wednesday (if necessary). Details at https://t.co/WCzN5rHwGc https://t.co/CF0tg3rMKv"
838,"RT @VandyBoys: The moment is here. 

#VandyBoys | #CWS https://t.co/6PxABjbEPP"
839,"RT @VandyBoys: Monday night action. ⚾️

⏰ 6 p.m.
📊 https://t.co/dbH9V9lRd9
📻 https://t.co/ihm78tQZry
📺 https://t.co/qbrsJJ02Jb

#VandyBoys…"
840,"Susan R. Wente, provost and vice chancellor for academic affairs, will be the next person celebrated through the Vanderbilt Trailblazers portrait series. Wente is the first woman to serve as Vanderbilt’s provost and as interim chancellor.

Learn more: https://t.co/TmL4aYDfXs https://t.co/UXJN059AhY"
841,"RT @VanderbiltAlum: Cheer on the #VandyBoys at Hawkins Field Monday, Tuesday and Wednesday, if necessary, during the #CWS Championship Seri…"
842,RT @VU_Chancellor: Statement from @VU_Chancellor and @VandyAD on the @VandyBoys championship series. (1/3) https://t.co/WZYA9Z1JXi
843,"Vanderbilt student @KumarRocker knows how to be an elite athlete.

The @VandyBoys pitcher, starting in today’s @NCAACWS game, embodies the description of a champion that Grantland Rice, Vanderbilt Class of 1901, described decades ago. https://t.co/c4KWMu67ce"
844,"RT @vucommodores: Eyes on Friday. 

#VandyBoys | #CWS https://t.co/T4aLLNlWjw"
845,RT @Lapop_Barometro: Charisma is a power we give to leaders. Why should we be careful when it comes to gifting charisma? If you're in Nashv…
846,"RT @VU_Chancellor: Anchor Down from Chancellor Diermeier! See you tomorrow, @VandyBoys https://t.co/H6QrPPtwni"
847,"RT @vucommodores: A win for all of Commodore Nation tonight. 

We are #VandyUnited. 

Learn more about the vision for Vanderbilt Athletics…"
848,@NashvilleSC @VandyBoys Clutch city! 🏙️
849,@PredsNHL We're vibin'!
850,"RT @vucommodores: What. An. Ending. 

#VandyBoys | #CWS 

https://t.co/nD0b09RSxv"
851,"RT @VandyBoys: Get to @espn to catch the final three frames. 📺 

#VandyBoys | #CWS https://t.co/uJXC7jvhJB"
852,"RT @vucommodores: Rally time. 

#VandyBoys | #CWS https://t.co/GGeOcc1Nmu"
853,"Commodore Nation, it's time to cheer on the @VandyBoys as they take on @StanfordBSB in the NCAA College World Series.

Quote tweet us and tell us where you're watching! https://t.co/IJtyIrG8QW"
854,"A beautiful day for baseball! ⚾ Right, @VandyBoys?

#Vandygram #VandyBoys #AnchorDown #CWS #Omaha https://t.co/bSkxVHv5yM"
855,"RT @VandyBoys: Wednesday night baseball. ⚾️

⏰ 6 p.m.
📊 https://t.co/Jvp6ZSliVm
📻 https://t.co/ihm78tzoA0
📺 https://t.co/lB0mwdoVGc

#Vandy…"
856,"The @CDCgov says fewer men are getting the #COVID19 vaccine than women. Why? Vanderbilt professor @JonathanMetzl believes it could all come down to image and traditional masculinity, via @FiveThirtyEight 👇 https://t.co/3PFrQpI5hQ"
857,"RT @MrChadBishop: For Jackie and Sam Dooyema, watching the @VandyBoys at the College World Series a bittersweet experience that continued t…"
858,"RT @VandyBoys: Eyes ahead.

#VandyBoys | #CWS https://t.co/fPbiIVoqlu"
859,"RT @VU_Chancellor: ""Let's all pull together and Anchor Down!"" -Chancellor Daniel Diermeier 

#VandyBoys | #CWS https://t.co/4FPVDoBtrC"
860,"RT @VandyFootball: We're behind you, @VandyBoys. 

⚓️ @Coach_Lea

#AnchorDown https://t.co/taexpubvFw"
861,Tune in to ESPN now to cheer on the #VandyBoys in the #CWS! https://t.co/ouSn5zudN9
862,"If you're worried about sticking to your budget on #PrimeDay, read what @VanderbiltOwen professor Kelly Haws says you should do before you hit ‘add to cart’ via @CNBCMakeIt 👇 https://t.co/zIjsuiqSL5"
863,"RT @vucommodores: Cheer on the #VandyBoys virtually with Zoom backgrounds, Facebook frames, GIFs and more. Check out the digital swag secti…"
864,"RT @VandyBoys: When we win, you win! Like this post and sign up below for your chance to win a variety of prizes throughout the College Wor…"
865,We want to wish all of the fathers and father figures - biological or otherwise - in our Vanderbilt community a Happy Father's Day! Thank you for all you do and have done to shape our ‘Dores into the great people they are. ❤️ https://t.co/fe4k5F6vEx
866,"RT @VandyBoys: Win 1 ✅

#VandyBoys | #CWS https://t.co/nLGHlRlrRl"
867,"RT @VU_Chancellor: Chancellor Daniel Diermeier anchoring down in Omaha. Go Dores!  

#VandyBoys #CWS https://t.co/mcQoKmxY4Z"
868,"RT @VandyBoys: ""You watch the foot in action, or the shoulder or the back."" 

@VanderbiltU student @KumarRocker describes what it takes to…"
869,RT @Fly_Nashville: 🏟 @VandyBoys AND @Vol_Baseball are playing in the College World Series this weekend! You know what that means. #VandyBoy…
870,"RT @vucommodores: It's almost go time. 

Commodore Nation, where are you cheering on the @VandyBoys tonight? 

#VandyBoys | #CWS https://t.…"
871,It's almost go time! Tune in to ESPN at 6 p.m. CT tonight to watch the @VandyBoys take on Arizona. #AnchorDown  #CWS https://t.co/j2Q5j4nOre
872,"On the field and in the classroom, students like @VandyBoys pitcher @KumarRocker--starting tonight in the NCAA #CWS--live up to how Grantland Rice, Vanderbilt Class of 1901, described a champion. https://t.co/3TuePIHzOU"
873,"RT @vucommodores: Game day in Omaha‼️

#AnchorDown | #CWS 
https://t.co/FesWyxBZC5"
874,"Today we reflect on the importance of #Juneteenth.

Watch as Vice Chancellor for Equity, Diversity and Inclusion André L. Churchwell is joined by Vanderbilt faculty to discuss the significance of this date in history 👇 https://t.co/nhvaaq0kg6"
875,"Nobody does it better than @VandyMrC. 🤩

We can't miss a chance to celebrate our favorite Commodore. #NationalMascotDay https://t.co/46ymLYqkU2"
876,"RT @VandyBoys: The support means everything. 🙌💯

#VandyBoys | #AnchorDown https://t.co/rLUbr7vpGZ"
877,RT @VU_Chancellor: Chancellor Daniel Diermeier joined @VandyAD and #VandyBoys fans in sending off the team to Omaha Wednesday afternoon out…
878,"RT @VandyBoys: Headed out in fashion. 📸 

#VandyBoys | #CWS https://t.co/TyaROcHnmC"
879,".@vanderbiltlaw's @Tim_L_Meyer suggests that the Biden Administration has a chance for a new beginning in fighting climate change with a ""Green Steel Deal.""

https://t.co/7Uv1MDrNrK"
880,"RT @VU_Chancellor: “Vanderbilt has always stood out in SEC athletics. We’re the only private university in the conference, the only one in…"
881,"RT @PolicyIntegrity: Today, we're very proud to announce the launch of the Initiative on Climate Risk and Resilience Law.

@ClimateRiskLaw…"
882,"RT @vucommodores: Sendoff the #VandyBoys to Omaha tomorrow from Hawkins Field‼️

Arrive early to claim your spot and wish the team good luc…"
883,A @vuengineering doctoral student has been tapped to co-lead efforts to repurpose approved medications for pregnant women and children. Drug repurposing aims to identify new uses for medical treatments that have already received regulatory approval. https://t.co/uhkl6zI0zH
884,"RT @VandyFootball: 6️⃣1️⃣5️⃣

Today 𝗼𝗻𝗹𝘆 purchase up to six tickets for $15 each for our Sept. 4 season opener.

🎟  https://t.co/xW5BvgvcVa…"
885,"‘It City.’ 🏙
Our city. 🏡

There’s nowhere else we’d rather be than right here in Nashville. #615Day https://t.co/fQFIhe3Vso"
886,"RT @vucommodores: Don't forget to snag some official @VandyBoys apparel before heading to Omaha. 👀 👇

#AnchorDown"
887,"To reflect on the importance of #Juneteenth, Vice Chancellor for Equity, Diversity and Inclusion André L. Churchwell hosted a discussion with faculty members about this important date in history.

See the full video and list of campuswide events 👇
https://t.co/QarxDVHMhZ"
888,RT @TVAnews: Solar power will soon energize one of the great American universities! Through partnerships and our award-winning Green Invest…
889,"RT @vucommodores: The @VandyBoys are headed to Omaha! Nominate a fan to join the team at the 2021 NCAA College World Series.

To nominate a…"
890,"RT @vucommodores: Gear up for the #CWS with official @VandyBoys apparel. 

We'll see you in Omaha!

#AnchorDown"
891,"RT @VU_Chancellor: Chancellor Daniel Diermeier and the entire Vanderbilt community are cheering on the @VandyBoys, on their way to the NCAA…"
892,"Reigning national champions the @VandyBoys beat East Carolina 4-1 on Saturday at Hawkins Field to win their Super Regional and advance to the College World Series for the fifth time in 11 years. 

Read all about it: https://t.co/wTEHRrHvTZ https://t.co/9hevR3CITr"
893,"RT @VandyBoys: The final out.

#VandyBoys | #RoadToOmaha https://t.co/jdNBu1eOfU"
894,The @VandyBoys defeat East Carolina in the NCAA Super Regionals and punch their ticket to the NCAA College World Series. Go Dores! https://t.co/gUavea9vV3
895,"RT @VandyBoys: We're headed to the bottom of the ninth with a three-run lead. 

#VandyBoys | #RoadToOmaha https://t.co/4Jh3dCifHT"
896,Vandy United! https://t.co/Gihk84ZJ3F
897,"The @VandyBoys are one win away from competing in the NCAA College World Series. 

Tune in to ESPN2 at 11 a.m. to cheer them on. Go Dores! https://t.co/X1npu22aH9 https://t.co/fupjPumtPg"
898,"RT @vucommodores: Decades ago, Grantland Rice (@VanderbiltU Class of 1901) described how to be a champion.

Today, students like @KumarRock…"
899,"RT @VandyBoys: One down. 
One to go. 

#VandyBoys | #RoadToOmaha https://t.co/AwtyvEPBO0"
900,RT @VU_Chancellor: Chancellor Daniel Diermeier and @VandyAD Candice Lee cheer on the @VandyBoys. Go Dores! https://t.co/v0wxuU61mU
901,"RT @vucommodores: Bird's eye view of The Hawk. 

#VandyBoys | #AnchorDown https://t.co/So3WdUDeUN"
902,Vandy United! @vandymbb coach @jerrystackhouse sings the National Anthem ahead of the @VandyBoys game Friday at The Hawk. https://t.co/SpHcP7utUr
903,"RT @vucommodores: You know you're in Music City when even the coaches sing the National Anthem. 

#VandyBoys | #AnchorDown https://t.co/4vU…"
904,RT @Inclusive_Vandy: Pride Zoom backgrounds are here! 🏳️‍🌈 Celebrate Pride month and show your support for the LGBTQIA+ community by downlo…
905,"RT @vucommodores: One step closer in bringing to life a part of the vision for Vanderbilt Athletics after a recent visit with @Populous.

#…"
906,"The Vanderbilt Project on Unity and American Democracy will host a virtual discussion about the evolution of the U.S. Congress with @RepDavidEPrice and @VandyPoliSci professors Alan Wiseman and Larry Bartels, Monday, June 28. 

https://t.co/b7ODWVfNJ6"
907,RT @VUEngineering: Congrats!! 👏👏👏 Vanderbilt's rocket team places 2nd in the 2021 @NASA @StudentLaunch Competition. The @VanderbiltU Rocket…
908,"Climate change is driving international migration, but when people are forced to leave their countries, they often find closed borders and little assistance. Read why one Vanderbilt researcher says laws need to adapt via @ConversationUS 👇

https://t.co/p0Uuhw3vW2"
909,"Tennesseans are politically divided on social and cultural issues but are united in their pride as Americans, according to the latest Vanderbilt University poll.

Read more at https://t.co/6wSPcZ5Kma https://t.co/BumklFzsnO"
910,"Most people think about how they move around their communities in terms of Google or Apple Maps. Now, a team of Vanderbilt researchers has created a new way for students to put themselves “on the map” in meaningful ways.

Learn more: https://t.co/t0S83vq3HS https://t.co/R29EYNzrXI"
911,"RT @Inclusive_Vandy: Get ready for the Juneteenth Freedom Celebration, hosted by the Bishop Joseph Johnson Black Cultural Center. Mark it o…"
912,"RT @VandyBoys: Delayed, not denied.

#VandyBoys | #RoadToOmaha https://t.co/MnqKC93Cqt"
913,"RT @vucommodores: Welcome to Nashville, baseball fans‼️

#AnchorDown | #RoadToOmaha https://t.co/6IgPDHwlpT"
914,"Older adults can rediscover the joy of learning through the Osher Lifelong Learning Institute at Vanderbilt, which is offering a variety of summer courses that will take place online using Zoom.

Learn more and register now 👇 https://t.co/3rJzlrDzMc"
915,"What kind of conversation would take place among a cell biologist, a theologian, an astronomer/physicist and a philosopher if they discussed the origins of life? A virtual discussion hosted by @VUBasicSciences brings together these perspectives June 17. https://t.co/db5guTx1K9"
916,RT @VanderbiltAlum: ICYMI: Vanderbilt has been tabbed the No. 4 overall seed in the NCAA Division I Tournament and will welcome Georgia Tec…
917,"RT @Inclusive_Vandy: After more than 15 years as a Vanderbilt mentor and campus leader, Frank E. Dobson is returning to his alma mater @bgs…"
918,"RT @VULGBTQILife: Hey fam! Here is to a #PrideMonth of dancing, glitter, gloriously outrageous outfits, &amp; immense love! Be safe, have fun,…"
919,RT @SpaceForceCSO: University partnerships are instrumental in growing a diverse &amp; talented workforce! I had the chance to spend time @Vand…
920,"Vanderbilt’s partnership with @theNMAAM has taken a giant step forward with the university’s inaugural acquisition—a collection of portraits, personal scrapbooks, signed albums and more from Dizzy Gillespie. #BlackMusicMonth 

Learn more 👇  https://t.co/OblbTo7Obj"
921,"Communication is at the heart of the partnership between @theNMAAM and Vanderbilt. The museum officially opened this year, and the doors now are open to ideas for acquisitions, guest lecturers, panel discussions, classes and performances. #BlackMusicMonth https://t.co/MCW8IjuB9a"
922,RT @Inclusive_Vandy: Vanderbilt celebrates the LGBTQIA+ members of our community and wishes you all a wonderful Pride month. Thank you for…
923,"Today, and every day, we remember those who lost their lives protecting our country. 🇺🇸 #MemorialDay https://t.co/u4dNhLg92p"
924,"🎶 So no one told you life was gonna be this way 👏👏👏👏

""Friends"" may have ended its run in 2004 but there’s no denying its sticking power. Communication Studies researcher Claire Sisco King explains why in @Reuters. #FriendsReunion 

https://t.co/Rv6vyIIonA"
925,"Vanderbilt recently welcomed @SpaceForceCSO to campus to learn about the pioneering aerospace engineering projects at the university. The visit also laid the groundwork for future partnership with @SpaceForceDoD.

Learn more: https://t.co/IfcwWSjPFL https://t.co/2sZ5ctKCVQ"
926,"Six students graduated from the Next Steps at Vanderbilt program as part of the Class of 2021 this May. Next Steps, housed in @VUPeabody, is the first four-year inclusive program in Tennessee for students with intellectual disabilities.

Learn more: https://t.co/zsvGgBvXf4 https://t.co/Eqi9GxFghf"
927,"Rather than allowing faith to fracture our politics, it should be used as a guiding force to help unify our communities, said former Tennessee governor @BillHaslam in a virtual discussion with @VUDivinity Dean @emtownes and @Peter Wehner.

Learn more: https://t.co/IOmLrTHolQ https://t.co/RoGJVi35zf"
928,"As #COVID19 restrictions are lifted and people start to leave their masks at home, some people worry: can you catch COVID-19 from someone who’s vaccinated? A Vanderbilt researcher shared his takeaways with @ConversationUS 👇

https://t.co/5kxT1qAwiu"
929,"New research by a @VUDivinity scholar argues that effective community organizers ground their efforts in shared sacred values as they work to expand the movement. 

https://t.co/ETI6TaZ3RU"
930,"The @VandyLibraries are the new home for a rich collection of items from the life and career of jazz and bebop musician Dizzy Gillespie as part of a collaboration with @theNMAAM.

https://t.co/LHK9EnPupn"
931,"Following revised CDC recommendations, Vanderbilt is modifying many COVID-19 protocols surrounding masks, gathering size and visits.

Additionally, faculty, staff and postdocs will be required to be fully vaccinated for the 2021-22 academic year.    https://t.co/XnbX0dvEi1"
932,RT @VU_Chancellor: “Research universities can play a unique role in identifying &amp; modeling solutions to climate change. Our collaboration w…
933,"Vanderbilt University has announced plans to achieve carbon neutrality this spring—decades ahead of its initial sustainability goal—through a series of innovative solutions that includes a new collaboration with @ClimateVault.

Learn more: https://t.co/e3LleAcIYW https://t.co/g7RUHxFJLe"
934,"Alex Sevilla, an associate dean in the University of Florida’s Warrington College of Business, has been named vice provost for career advancement and engagement and the Evans Family Executive Director of @VUCareer. https://t.co/xrFYN7c2NZ"
935,"RT @VU_Chancellor: Chancellor Diermeier attributed Vanderbilt’s ability to hold in-person classes, as well as in-person commencement ceremo…"
936,"RT @vucommodores: Show you’re #VandyUnited with a purchase from the limited-time Vandy United Swag Store!

Get them while they're hot‼️

🔗…"
937,"RT @VandyAD: For me, the past year was an undeniably challenging way to start a new job—even a new job in very familiar surroundings on Wes…"
938,"RT @VandyBoys: W 🤩 W

#VandyBoys https://t.co/OiHBjEqwPI"
939,"Daniel Genkins, a postdoctoral scholar in the history department, worked with the Data Science Institute to build a machine learning pipeline to process digitized records that touch on the lives of people of African descent, both free and enslaved, in the early modern Atlantic. https://t.co/eeu6yHu8z5"
940,"RT @vucommodores: What a week it was. A big congrats to all of our new @vanderbiltu alums. 

#AnchorDown | #VU2021 https://t.co/30CcrTK6n2"
941,"Vanderbilt research shows the unintended consequence of pesticides is the death of a bee’s circadian rhythm, not the bee itself. That disruption causes honey bees to lose their sense of time and navigation. #WorldBeeDay
https://t.co/yr4bLu8fU6"
942,"Bees are known to tell time by light and social cues. Now, a new study by a Vanderbilt researcher has shown that the circadian clocks of bees can be altered by another surprising factor: temperature cycles inside the hive. #WorldBeeDay
https://t.co/iu5c6X2T93"
943,"RT @VandyMGolf: ⚓⬇️🏆🆙

#AnchorDown https://t.co/ZqlYAc1mBX"
944,"RT @VandyWBB: A campus for all seasons. 

🌼☀️🍂❄️

#AnchorDown https://t.co/HU5zGNSSq5"
945,"The Vanderbilt Project on Unity and American Democracy will present a discussion about the role of faith in politics by co-chair and former Tennessee governor @BillHaslam with @VUDivinity Dean @emtownes and @Peter_Wehner on May 25.

Register at https://t.co/uNkTpcgu8k https://t.co/WxcBYVj0K1"
946,RT @Inclusive_Vandy: Alumni: Are you a member of the LGBTQIA+ Community? Join LAVA today and be a part of our inclusive community connectin…
947,Vanderbilt School of Nursing assistant professor of nursing Melissa Davis discusses why it is important for post-child-bearing-aged women to seek preventative care during the pandemic. https://t.co/sfvQAg19Cl
948,Assistant Professor of Nursing Julia Phillippi from Vanderbilt University School of Nursing discusses why it is important for women of childbearing years to seek preventative care during the pandemic. https://t.co/KYgXSSdSIo
949,"""I know it can be scary coming in for a GYN visit, but I would still encourage all women to come in. We want to help them be the best versions of themselves even during this pandemic,"" says Jessica Wellette, instructor at the Vanderbilt School of Nursing. https://t.co/EYOWn985Xy"
950,"Why is it important for women to seek preventative care during the #COVID19 pandemic?

Watch as @VanderbiltNurse faculty share their expertise 👇"
951,"“You do have to wash your clothes, but you can do a very good job of minimizing the impact,” says @jg_environ, Vanderbilt assoc. prof. of @vanderbiltEES who has studied the effects of individual actions on greenhouse gas emissions. Via @washingtonpost  https://t.co/kePMiIZg6m"
952,RT @VU_Chancellor: Chancellor Daniel Diermeier will hold the university’s first Spring Staff Assembly on May 20 at 4 p.m. CT. The event wil…
953,"To keep the VU community as safe as possible and help ensure the ability to continue to conduct in-person teaching and learning, all new and returning students will be required to be fully vaccinated against COVID-19 for the 2021–22 academic year. https://t.co/mPqQJMW99S"
