,text
40,"RT @VanderbiltAlum: As @VandyFootball prepares for its spring game, alum @Coach_Lea talks about the support of the Vanderbilt alumni commun…"
41,"RT @VanderbiltAlum: Ahead of @VandyFootball’s spring game, alum @Coach_Lea shares how the critical thinking skills and professionalism he d…"
42,"RT @vucommodores: See you soon, Commodore fans‼️

#AnchorDown https://t.co/qrFto5yPuk"
43,"RT @VU_Chancellor: ""@VandyBowling continues to set a standard of excellence that makes competing for championships a familiar feature of th…"
44,"RT @SouthlandBowl: 𝓢𝓣𝓘𝓛𝓛 𝓓𝓐𝓝𝓒𝓘𝓝' 💃💃💃

@VandyBowling takes down FDU 2⃣-1⃣ after two modified Baker tiebreakers‼️⚓️💪

#AnchorDown | #SBL | #N…"
45,"Meet the K-9 teams of VUPS: Formed in 2007, the K-9 program of the Vanderbilt Police Department has worked to make campus a safer, healthier and more welcoming environment.

Learn more about these incredible pups and their handlers ⬇️ https://t.co/VyUEkZ0AIh"
46,"RT @VU_Chancellor: “For employers—and for society at large—the benefits of the perspectives, skillsets and character offered by the members…"
47,"I Am Vanderbilt celebrates the talents and contributions that the people of VU bring to work each day.

Learn how Brandon Hulette, a longtime U.S. Army reservist, brings a unique, multidisciplinary perspective to his role as a VU Army ROTC instructor ⬇️ https://t.co/44YMgh2djV"
48,"RT @VandyAD: I'm so proud of Cailin for having the courage to share her story. And I absolutely agree with that her that ""it is on all of u…"
49,"RT @vucommodores: Join us April 15-17 for Black and Gold Weekend!

Festivities include ⤵️

🏈 Spring football
⚾️ Baseball
🥍 Lacrosse
🎾 Tenni…"
50,"Two @VanderbiltOwen graduate students won first place at the 2022 SEC Student Pitch Competition for their start up, ESG Impact.

Read more about ESGi’s co-founders Max Mona and Adam Jace and how their project has roots at @theWondry.⬇️
https://t.co/xmI1V6s24L"
51,"The Rev. James Lawson returned to Vanderbilt for the April 7 launch of an institute that carries forward his commitment to achieving justice and equality through nonviolent movements and strategies.

Learn more: https://t.co/8tlCVQDXqo https://t.co/jObb9PW6CQ"
52,".@Radiolab founder @JadAbumrad, a public radio icon and podcast pioneer, will join Vanderbilt to lead and advise on several areas of work, including the launch of a new podcast institute.

Learn more ⬇️ https://t.co/2hPGVxilrY"
53,"RT @VandyUnity: We are excited to launch the Vanderbilt Unity Index, a new data-focused effort to quantify “unity"" in American democracy. L…"
54,".@VU_Chancellor Daniel Diermeier was installed on April 9 as Vanderbilt’s ninth chancellor. Watch highlights from the investiture ceremony which is one of the oldest traditions in academia. 

Read more about the ceremony: https://t.co/fF9sGmi4Jw https://t.co/qtETMLXZO6"
55,"RT @VanderbiltAlum: Save the date: Vanderbilt’s sixth annual Giving Day is April 21.

On Giving Day, the VU community stands together to su…"
56,"RT @Fly_Nashville: Our lights shine black and gold ⚫️🟡, as we celebrate a new era of leadership at
Vanderbilt University (@VanderbiltU) #BN…"
57,"RT @TheSECU: Two graduate students from @VanderbiltOwen win 2022 @SEC Student Pitch Competition! Here’s the story. ⬇️

https://t.co/EEBUYuU…"
58,"RT @VandyBowling: Starting the week as Regional champs. 😎

#AnchorDown https://t.co/RI9Gt8QWVw"
59,"In keynote remarks delivered at an investiture officially marking his tenure as Vanderbilt’s 9th chancellor, Daniel Diermeier urged the university community to seize this aspirational moment &amp; join him in building “The Great University” for today’s world: https://t.co/mRxWsYoMWo https://t.co/Mz9Ht96bLf"
60,"Have you ever wondered where the @PredsNHL’s name and logo come from?

In an interview with @WPLN, VU paleontologist Larisa DeSantis (@DeSantisLab) discusses the history of the team's mascot and the characteristics of the saber-toothed tiger. Listen ⬇️
https://t.co/Enl0csYzbN"
61,RT @VU_Provost: It's an honor to celebrate @VU_Chancellor's investiture today and all the opportunities this moment represents for @Vanderb…
62,"Today Vanderbilt enters the next era in the university's nearly 150-year history as we celebrate the investiture of @VU_Chancellor Daniel Diermeier.

Join us for a livestream of the ceremony beginning at 1 p.m. at https://t.co/pvxwgPMzib. https://t.co/ZhPiIeUIiH"
63,"Last night, the Korean War Veterans Memorial Bridge in downtown Nashville was lit in gold in honor of @VU_Chancellor's investiture. This weekend, the TN State Capitol, @Fly_Nashville &amp; more will light up in celebration. 

Join the VU community festivities: https://t.co/pvxwgPMzib https://t.co/7hW7AI2zmW"
64,"In celebration of the investiture of @VU_Chancellor Diermeier, today Vanderbilt will host a series of events for the university community to learn more about Vanderbilt’s past and future.

Learn more and watch all of the streaming content at https://t.co/pvxwgPMzib. https://t.co/ki8G8xC5yf"
65,RT @vucommodores: Join @VandyAD and @SportsSocietyVU's Andrew Maraniss on April 8 for a discussion on “Perspectives on Success in Vanderbil…
66,"I Am Vanderbilt celebrates the talents and contributions that the people of VU bring to work each day.

As a science writer, editor and social media manager, Lorena Infante Lara promotes research carried out by the @VUBasicSciences community. Learn more ⬇️ https://t.co/60iDf8gjEy"
67,"Three years and three majors later, @VandySwimming’s Alina Jones has a new challenge.

Learn more about Alina’s journey as a swimmer and a student as well as her plans for the future. ⬇️
https://t.co/LvXbNxFLTx"
68,"In an interview with @WPLN, Vanderbilt researcher @DrAngelaSutton discusses her work to recover and honor the history of Fort Negley and the surrounding former Bass Street neighborhood as Nashville develops new plans for the area.

Listen ⬇️ https://t.co/wid5AAbpid"
69,"To assist health care in low and middle income countries, @vuglobalhealth's Martin Were created an app for providers who work remotely to access historical patient data, collect new data, view media and more.
https://t.co/zwFcKlgxeS"
70,"To prepare for future global health crises, a Vanderbilt research team consulted with health experts from across the globe and developed a report with five key recommendations based on cultural responses.
https://t.co/WeGfKA4JCf"
71,"A Vanderbilt doctoral student was tapped to co-lead a team of researchers and patient advocates to identify areas across the world in need of health care for pregnant women and infants.
https://t.co/uhkl6zI0zH"
72,"On this #WorldHealthDay, learn about a few of the steps Vanderbilt researchers are taking to improve health care across the globe.

🧵⬇️"
73,"Learn from Vanderbilt’s Tim Vogus, deputy director of the Frist Center for Autism and Innovation, about the importance of neurodiversity in the workplace and how to create more inclusive spaces for all. #AutismAcceptanceMonth 
https://t.co/CXBi8htAsq"
74,"Vanderbilt community members and their families are invited to a celebration on Alumni Lawn following the investiture of @VU_Chancellor Daniel Diermeier on Saturday, April 9.

Join us for free food, live music, swag, activities and more: https://t.co/mg2I8ZOKsQ https://t.co/yblcshxSot"
75,"RT @vucommodores: Wishing all of our Dores a happy National Student-Athlete Day! 

#AnchorDown https://t.co/jo0OhORFNB"
76,Scholars at Vanderbilt University and Vanderbilt University Medical Center achieved a significant milestone in 2021: more than $1 billion in research funding awarded from external organizations.   https://t.co/ySziobWmKh
77,"Vanderbilt community members and their families are invited to a celebration on Alumni Lawn following the investiture of @VU_Chancellor Diermeier on April 9.

The celebration will feature free food, live music, swag and more: https://t.co/o2x7pMAD5I https://t.co/IUXxZRhluE"
78,"Ahead of the investiture of @VU_Chancellor Diermeier, join leaders in higher ed, athletics, innovation and more for a series of discussions on Vanderbilt’s history and future April 8–9.

See the full schedule of events ⬇️ https://t.co/aHLUrytMUt"
79,"Join us on April 9 as we enter the next era in Vanderbilt’s nearly 150-year history and celebrate the investiture of the university’s ninth @VU_Chancellor, Daniel Diermeier: https://t.co/pvxwgPMzib https://t.co/AaExmyQfmj"
80,"Esteemed political scientist Larry Bartels, whose scholarship deepens the understanding of how voters behave and that behavior’s consequences for democratic governance, is Vanderbilt’s winner of the 2022 Southeastern Conference Faculty Achievement Award. https://t.co/um8BUlet0r"
81,RT @VU_Chancellor: Chancellor Diermeier and @VandyAD cheer on @VandyMGolf ahead of Sunday’s final round of the Mason Rudolph Championship.…
82,The April 2 MLK Joint Day of Service brought together hundreds of student volunteers from Nashville-area colleges and universities to continue the dream of Dr. Martin Luther King Jr. through service. https://t.co/Q64jSELGwg
83,"To shoot a basketball with precision requires countless hours of practice, usually under the watchful eye of a coach. Now, thanks to new Vanderbilt research, players may soon be able to use AI technology to work on those same principles on their own: https://t.co/4X4qVz3tFT https://t.co/vRSDVOSs6p"
84,@AminaShumake Congratulations! Anchor Down! 💛🖤💛🖤
85,"On April 8–9, Vanderbilt will host a series of events in honor of @VU_Chancellor Diermeier’s investiture. Surrounding the ceremony will be opportunities to learn more about VU's past and future, as well as a grand family-friendly celebration. Learn more ⬇️ https://t.co/mY0YzrjqyV"
86,"Researchers at Vanderbilt Kennedy Center report an increase in the number of children in Tennessee with autism spectrum disorder (ASD).

Read more about their findings ⬇️
https://t.co/mmHBIPTqtd"
87,"Scientists have studied autism for years, including Vanderbilt’s T.A. Meridian McDonald, who has spent 25 years in the field. She has published a theoretical model describing the cause of autism and the reason for its rising prevalence.

Learn more: https://t.co/KOGUYAVN89 https://t.co/6JgyruoPS2"
88,"A $5 million @NSF grant will aid @VUEngineering in creating novel AI technology and tools and platforms that train and support individuals with Autism Spectrum Disorder in the workplace. #AutismAwarenessMonth

Learn more ⬇️
https://t.co/AE6YWOLrWO"
89,RT @VU_Chancellor: “Your work here is foundational to our institution and it is what will drive Vanderbilt’s progress in the years and deca…
90,RT @vpbmusicgroup: @VanderbiltU Single day tickets for Friday nights portion of Rites of Spring are on sale now for $35! Artist include @2c…
91,RT @vpbmusicgroup: @VanderbiltU Single day tickets for Saturday nights portion of Rites of Spring are on sale now for $35! Artist include:…
92,"I Am Vanderbilt celebrates the talents and contributions that the people of VU bring to work each day.

Meet Midori Lockett, @VanderbiltLocal's chief community impact officer who has served as a staff member at Vanderbilt for more than two decades ⬇️
https://t.co/zigmXE0LGr"
93,RT @VUDivinity: Vanderbilt University will launch the James Lawson Institute for the Research and Study of Nonviolent Movements on April 7…
94,"Vanderbilt has launched a new climate studies major that integrates natural sciences, social sciences and humanities to give students a comprehensive perspective on climate change, its challenges and possible solutions.

Learn more: https://t.co/nr49A6WIIi https://t.co/Dq6kCYPsj3"
95,"RT @VUEngineering: The 2023 @USNewsEducation #BestGradSchool rankings are out, and Vanderbilt's School of Engineering graduate programs sho…"
96,RT @VanderbiltNurse: So proud! @VanderbiltNurse ranks among the nation’s best according to U.S. News &amp; World Report’s Best Grad School rank…
97,RT @vupeabody: Peabody College is the #5 graduate school of education in the 2023 @USNewsEducation rankings! Our programs showed continued…
98,"RT @VandyUnity: Today, we are excited to announce our new Advisory Board. From politicians to musicians, we have recruited folks with broad…"
99,Vanderbilt's graduate programs show continued strength in the 2023 @USNews #BestGradSchool rankings. https://t.co/V1OQDmZOo7
100,RT @VU_Chancellor: Chancellor Diermeier sends his congratulations to @VandyBowling on the team’s back-to-back Southland Bowling League Cham…
101,"RT @VandyBowling: Back-2⃣-back. 🏆🏆

#AnchorDown https://t.co/ocDxde4YD3"
102,RT @VU_Provost: Congrats to Vice Provost for Research Padma Raghavan on being selected for @POTUS Committee on the National Medal of Scienc…
103,"“When you have students that are so diverse, it’s really important for our faculty members also to be a part of that.”

See how Xiu Cravens is connecting her “two worlds” through her work as a Vanderbilt researcher and mentor to students. https://t.co/k6tMW9l3nC"
104,"RT @VandyWBB: Game day and we're pretty pumped about this one.  

📺 [Conference USA TV] https://t.co/VRJm90D0BC
📻 https://t.co/PX85qOidst
📊…"
105,"RT @VandyWBB: 🚨 VANDY STUDENTS 🚨

Sign up for the bus trip to our game in Murfreesboro tomorrow. Spots will be filled on a first come, firs…"
106,"RT @VanderbiltAlum: Rosevelt L. Noble, BS’98, PhD’03, director of the Black Cultural Center &amp; senior lecturer in sociology, is collaboratin…"
107,"RT @VandyMBB: Where are y'all tuning in from for our game tonight at Xavier???

#AnchorDown https://t.co/vy2gxArGWM"
108,"RT @VanderbiltAlum: There’s a new look in Nashville!

Celebrate our refreshed visual identity with refreshed merchandise.

Shop here➡️ http…"
109,RT @jerrystackhouse: A New Era! #VandyUnited ⚓️⬇️ https://t.co/7FrSywJ5Kf
110,"RT @sevolley: More than a new set of marks and messages, today’s launch is about demonstrating who we are-to each other &amp; to the world. We…"
111,"RT @VU_Chancellor: ""This new visual identity is designed to help build and share the pride in our collaborative community and to bring grea…"
112,"RT @VanderbiltAlum: Updates to the Vanderbilt identity come after extensive input from across the community, with more than 500 completed s…"
113,"RT @VandyAD: From my perspective, the timing is perfect in that it illustrates the ""new era"" that we have spoken of often. It's a new day,…"
114,"Vanderbilt University today launched a refreshed visual identity designed to reflect the university’s forward momentum and to build pride and visibility across the institution, including its athletics program.

Learn more: https://t.co/PUShFOVUje https://t.co/UfV8bOCMJa"
115,RT @sevolley: https://t.co/bjpKJ4ocVW
116,"RT @VandyWBB: ONWARD.

#AnchorDown https://t.co/aVOP7FEJCH"
117,"RT @VandyWBB: Game day, 𝐫𝐨𝐮𝐧𝐝 𝟐. 

📺 https://t.co/IOGboczUUA
📻 https://t.co/0HMhSeWil2
📊 https://t.co/eKSXkgfygU
🗞️ https://t.co/0SByppOoTI…"
118,"Join local colleges and universities in honoring the life and legacy of Dr. Martin Luther King Jr. by volunteering during the rescheduled MLK Joint Day of Service on April 2.

More info ⬇️
https://t.co/6WL5R9tHUL"
119,"RT @VandyFootball: 🚨 ATTN @VanderbiltU Students ... Free pizza on us tonight 🍕

Join us at 6:45 in Memorial Gymnasium as we cheer on @Vandy…"
120,RT @vanderbiltlaw: Landmark Case: Professor Jim Blumstein reflects on the enduring significance of his Supreme Court voting rights victory…
121,"This #WorldPoetryDay, enjoy ‘Now That You Are Here, I Can Think,’ a poem by English Professor and Director of Creative Writing Major Jackson: https://t.co/mOQeROIAn7 https://t.co/wHtSlMoLr6"
122,"RT @vucommodores: ""That was awesome!"" 🗣 @VandyAD https://t.co/NyiZuBObfm"
123,RT @VandyMBB: Shoutout to Commodore Nation 🖤💛 https://t.co/RF1wQC2Nfo
124,"RT @vucommodores: Here we go, Dores. 👏

It's time to make #MemorialMagic. ✨

#AnchorDown https://t.co/du1tC3BfpT"
125,"RT @vucommodores: A big day in Music City. 

⚓️ @VandyMTennis
⚓️ @VandyMBB
⚓️ @VandyBoys

#AnchorDown https://t.co/3cPb8NpLMD"
126,RT @VandyMBB: TODAY. https://t.co/HnUHpjv1ED
127,"🌷 #FirstDayOfSpring giveaway alert 🌷

We want to see your best campus photos this season! Check out Vanderbilt's Instagram to learn how you could win an Instax camera by sharing your spring shots: https://t.co/n0wNeEfaJP https://t.co/cdTYJlJOIF"
128,"RT @VandyWBB: Round ✌️

Dores vs Flames

#AnchorDown https://t.co/tnrPQeFpIu"
129,"RT @VandyWBB: DORES. MOVING ON. 

#AnchorDown https://t.co/ObD6bBYmNA"
130,"RT @vucommodores: Get you an AD who supports you like @VandyAD 👏

#AnchorDown https://t.co/Gi4QJkl52A"
131,"RT @VU_Chancellor: ""When we challenge and support each other, we never stop growing and achieving – and we see that in the commitment and t…"
132,"I Am Vanderbilt celebrates the talents and contributions that the people of VU bring to work each day.

Meet Allie Noote, an associate program manager for @VanderbiltNurse who plays a critical role in students’ Vanderbilt careers.

Learn more ⬇️ https://t.co/cueSjNA6oi"
133,"At a hearing last week, Vanderbilt sleep expert Beth Malow argued that daylight saving time makes it harder to be alert in the morning, saying it ""is like living in the wrong time zone for almost eight months out of the year."" https://t.co/s8zETRouhY"
134,"RT @VandyMBB: 🚨🎟️

Tickets for our NIT game Sunday vs. Dayton at Memorial are on sale NOW. 

General admission &amp; reserved  
⚓️ https://t.co…"
